City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Jiblah,YE,13.9216,44.1467,72.05,28,62,4.38,broken clouds
150,Port Augusta,AU,-32.5,137.7667,54.16,85,38,8.86,scattered clouds
151,Marzuq,YE,14.4,46.4667,77.76,17,7,3.04,clear sky
152,Jequie,BR,-13.8575,-40.0836,70.02,83,99,4.43,overcast clouds
153,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.35,67,91,9.44,overcast clouds
154,Quatre Cocos,MU,-20.2078,57.7625,69.1,65,65,15.37,broken clouds
155,Lar,IN,26.2039,83.9717,91.94,57,98,9.55,overcast clouds
156,Yairipok,IN,24.6667,94.0667,69.51,99,100,1.48,overcast clouds
157,Yining,CN,29.0361,114.5636,73.53,87,100,1.25,overcast clouds
158,Cherskiy,RU,68.75,161.3,65.79,29,6,4.25,clear sky
159,Tiksi,RU,71.6872,128.8694,43.61,68,100,7.52,overcast clouds
160,Mikkeli,FI,61.6886,27.2723,56.14,100,0,3.44,clear sky
161,Khash,IR,28.2211,61.2158,78.73,38,2,3.4,clear sky
162,Ancud,CL,-41.8697,-73.8203,48.22,88,78,6.26,light rain
163,Uberlandia,BR,-18.9186,-48.2772,68.11,40,100,5.61,overcast clouds
164,Beira,MZ,-19.8436,34.8389,66.0,93,3,5.97,clear sky
165,Ketchikan,US,55.3422,-131.6461,61.27,59,75,9.22,broken clouds
166,Kapaa,US,22.0752,-159.319,87.78,70,20,23.02,few clouds
167,Laguna,US,38.421,-121.4238,92.28,13,0,13.8,clear sky
168,Balestrand,NO,61.2076,6.5334,48.99,97,100,2.21,overcast clouds
169,Avarua,CK,-21.2078,-159.775,82.45,69,20,13.8,few clouds
170,Almirante Tamandare,BR,-25.3247,-49.31,53.58,83,8,2.84,clear sky
171,Sigli,ID,5.3848,95.9609,77.41,83,88,6.26,overcast clouds
172,Port Alfred,ZA,-33.5906,26.891,57.18,62,11,3.0,few clouds
173,Jamapa,MX,19.0333,-96.2333,83.07,60,75,9.22,broken clouds
174,Berlevag,NO,70.8578,29.0864,40.95,81,100,8.05,overcast clouds
175,Luderitz,NA,-26.6481,15.1594,56.89,73,0,5.35,clear sky
176,Sarangani,PH,5.4033,125.4636,83.66,74,100,16.96,overcast clouds
177,Aguimes,ES,27.9054,-15.4461,67.66,73,20,17.27,few clouds
178,Faya,SA,18.3851,42.4509,72.12,25,6,2.33,clear sky
179,Caravelas,BR,-17.7125,-39.2481,71.92,67,82,10.56,broken clouds
180,Jimma,ET,7.6667,36.8333,58.03,96,97,1.72,overcast clouds
181,Kaeo,NZ,-35.1,173.7833,62.33,81,13,10.87,few clouds
182,Port Lincoln,AU,-34.7333,135.8667,59.05,78,22,19.22,few clouds
183,Krasnovishersk,RU,60.4078,57.082,51.82,88,57,1.72,broken clouds
184,Cabo San Lucas,MX,22.8909,-109.9124,93.61,37,0,18.41,clear sky
