City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Fairview,US,83.55,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
533,Tulagi,SB,83.01,broken clouds,-9.0996,160.1476,Raiders Hotel & Dive
535,Russell,US,76.15,light intensity drizzle,32.3502,-85.1999,Macs
537,Ukiah,US,87.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
538,Tiquisio,CO,77.88,overcast clouds,8.5597,-74.2669,Luis Florez
542,Broome,US,76.69,clear sky,42.2506,-75.833,Chenango Valley State Park
543,Pochutla,MX,82.22,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
547,Amalapuram,IN,78.6,overcast clouds,16.5833,82.0167,swayamprabha service apartments
548,Dalbandin,PK,89.15,clear sky,28.8947,64.4101,Sanjrani House
549,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
550,Luwuk,ID,78.76,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
556,Soller,ES,78.03,scattered clouds,39.7662,2.7152,Hotel Marina & Wellness Spa
558,Giddalur,IN,80.89,overcast clouds,15.35,78.9167,Shivaji Lodge
564,Epe,NG,77.04,light rain,6.5841,3.9834,MAGVILLE HOTEL
566,Pathein,MM,78.82,overcast clouds,16.7833,94.7333,Pathein Hotel
580,Iquitos,PE,80.64,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
583,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
584,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
586,Takoradi,GH,78.13,overcast clouds,4.8845,-1.7554,Raybow International Hotel
589,Pizarro,CO,76.95,light rain,4.9533,-77.366,Hotel Limonar
592,Sillod,IN,79.54,overcast clouds,20.3,75.65,पवन
599,Kalmunai,LK,78.89,overcast clouds,7.4167,81.8167,VS Villa
601,Porbandar,IN,84.88,few clouds,21.6422,69.6093,Lords Inn Porbandar
603,Clinton,US,82.72,broken clouds,42.587,-82.9199,River's Edge
605,Diffa,NE,86.16,scattered clouds,13.3154,12.6113,ProDAF/Diffa
607,Shelton,US,82.15,clear sky,41.3165,-73.0932,Hilton Garden Inn Shelton
612,Mayo,US,83.1,clear sky,38.8876,-76.5119,Resorts Resource Group International
619,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
